N_neighbors,weights,algorithm,Leaf_size,P,MMRE-
9,distance,auto,20,2,6.3143
9,distance,auto,30,1,6.09628
9,distance,auto,30,2,6.3143
9,distance,auto,40,1,6.02226
9,distance,auto,40,2,6.28532
9,distance,auto,50,1,6.02226
9,distance,auto,50,2,6.28532
9,distance,auto,100,1,6.0
9,distance,auto,100,2,6.243060000000001
9,distance,ball_tree,10,1,6.073379999999999
9,distance,ball_tree,10,2,6.28284
9,distance,ball_tree,20,1,6.05988
9,distance,ball_tree,20,2,6.297199999999999
9,distance,ball_tree,30,1,6.05988
9,distance,ball_tree,30,2,6.297199999999999
9,distance,ball_tree,40,1,5.995340000000001
9,distance,ball_tree,40,2,6.307939999999999
9,distance,ball_tree,50,1,5.995340000000001
9,distance,ball_tree,50,2,6.307939999999999
9,distance,ball_tree,100,1,5.98452
9,distance,ball_tree,100,2,6.2477
9,distance,kd_tree,10,1,6.151999999999999
9,distance,kd_tree,10,2,6.287560000000001
9,distance,kd_tree,20,1,6.09628
9,distance,kd_tree,20,2,6.3143
9,distance,kd_tree,30,1,6.09628
9,distance,kd_tree,30,2,6.3143
9,distance,kd_tree,40,1,6.02226
9,distance,kd_tree,40,2,6.28532
9,distance,kd_tree,50,1,6.02226
9,distance,kd_tree,50,2,6.28532
9,distance,kd_tree,100,1,6.0
9,distance,kd_tree,100,2,6.243060000000001
9,distance,brute,10,1,5.97386
9,distance,brute,10,2,6.1304
9,distance,brute,20,1,5.97386
9,distance,brute,20,2,6.1304
9,distance,brute,30,1,5.97386
9,distance,brute,30,2,6.1304
9,distance,brute,40,1,5.97386
9,distance,brute,40,2,6.1304
9,distance,brute,50,1,5.97386
9,distance,brute,50,2,6.1304
9,distance,brute,100,1,5.97386
9,distance,brute,100,2,6.1304
10,uniform,auto,10,1,6.56276
10,uniform,auto,10,2,6.57526
10,uniform,auto,20,1,6.482140000000001
10,uniform,auto,20,2,6.57884
10,uniform,auto,30,1,6.482140000000001
10,uniform,auto,30,2,6.57884
10,uniform,auto,40,1,6.405760000000001
10,uniform,auto,40,2,6.5125
10,uniform,auto,50,1,6.405760000000001
10,uniform,auto,50,2,6.5125
10,uniform,auto,100,1,6.3811
10,uniform,auto,100,2,6.524699999999998
10,uniform,ball_tree,10,1,6.50638
10,uniform,ball_tree,10,2,6.56226
10,uniform,ball_tree,20,1,6.485520000000001
10,uniform,ball_tree,20,2,6.567060000000001
10,uniform,ball_tree,30,1,6.485520000000001
10,uniform,ball_tree,30,2,6.567060000000001
10,uniform,ball_tree,40,1,6.39922
10,uniform,ball_tree,40,2,6.5259
10,uniform,ball_tree,50,1,6.39922
10,uniform,ball_tree,50,2,6.5259
10,uniform,ball_tree,100,1,6.403499999999999
10,uniform,ball_tree,100,2,6.533760000000001
10,uniform,kd_tree,10,1,6.56276
10,uniform,kd_tree,10,2,6.57526
10,uniform,kd_tree,20,1,6.482140000000001
10,uniform,kd_tree,20,2,6.57884
10,uniform,kd_tree,30,1,6.482140000000001
10,uniform,kd_tree,30,2,6.57884
10,uniform,kd_tree,40,1,6.405760000000001
10,uniform,kd_tree,40,2,6.5125
10,uniform,kd_tree,50,1,6.405760000000001
10,uniform,kd_tree,50,2,6.5125
10,uniform,kd_tree,100,1,6.3811
10,uniform,kd_tree,100,2,6.524699999999998
10,uniform,brute,10,1,6.33836
10,uniform,brute,10,2,6.40514
10,uniform,brute,20,1,6.33836
10,uniform,brute,20,2,6.40514
10,uniform,brute,30,1,6.33836
10,uniform,brute,30,2,6.40514
10,uniform,brute,40,1,6.33836
10,uniform,brute,40,2,6.40514
10,uniform,brute,50,1,6.33836
10,uniform,brute,50,2,6.40514
10,uniform,brute,100,1,6.33836
10,uniform,brute,100,2,6.40514
10,distance,auto,10,1,6.139100000000001
10,distance,auto,10,2,6.33582
10,distance,auto,20,1,6.0822400000000005
10,distance,auto,20,2,6.33874
10,distance,auto,30,1,6.0822400000000005
10,distance,auto,30,2,6.33874
10,distance,auto,40,1,6.033040000000001
10,distance,auto,40,2,6.281499999999999
10,distance,auto,50,1,6.033040000000001
10,distance,auto,50,2,6.281499999999999
10,distance,auto,100,1,6.021040000000001
10,distance,auto,100,2,6.291320000000001
10,distance,ball_tree,10,1,6.09786
10,distance,ball_tree,10,2,6.32428
10,distance,ball_tree,20,1,6.08756
10,distance,ball_tree,20,2,6.326059999999999
10,distance,ball_tree,30,1,6.08756
10,distance,ball_tree,30,2,6.326059999999999
10,distance,ball_tree,40,1,6.02866
10,distance,ball_tree,40,2,6.29596
10,distance,ball_tree,50,1,6.02866
10,distance,ball_tree,50,2,6.29596
10,distance,ball_tree,100,1,6.035919999999999
10,distance,ball_tree,100,2,6.298239999999999
10,distance,kd_tree,10,1,6.139100000000001
10,distance,kd_tree,10,2,6.33582
10,distance,kd_tree,20,1,6.0822400000000005
10,distance,kd_tree,20,2,6.33874
10,distance,kd_tree,30,1,6.0822400000000005
10,distance,kd_tree,30,2,6.33874
10,distance,kd_tree,40,1,6.033040000000001
10,distance,kd_tree,40,2,6.281499999999999
10,distance,kd_tree,50,1,6.033040000000001
10,distance,kd_tree,50,2,6.281499999999999
10,distance,kd_tree,100,1,6.021040000000001
10,distance,kd_tree,100,2,6.291320000000001
10,distance,brute,10,1,6.0025200000000005
10,distance,brute,10,2,6.1921
10,distance,brute,20,1,6.0025200000000005
10,distance,brute,20,2,6.1921
10,distance,brute,30,1,6.0025200000000005
10,distance,brute,30,2,6.1921
10,distance,brute,40,1,6.0025200000000005
10,distance,brute,40,2,6.1921
10,distance,brute,50,1,6.0025200000000005
10,distance,brute,50,2,6.1921
10,distance,brute,100,1,6.0025200000000005
10,distance,brute,100,2,6.1921
13,uniform,auto,10,1,6.55044
13,uniform,auto,10,2,6.7061399999999995
13,uniform,auto,20,1,6.548959999999999
13,uniform,auto,20,2,6.6928399999999995
13,uniform,auto,30,1,6.548959999999999
13,uniform,auto,30,2,6.6928399999999995
13,uniform,auto,40,1,6.48198
13,uniform,auto,40,2,6.67542
13,uniform,auto,50,1,6.48198
13,uniform,auto,50,2,6.67542
13,uniform,auto,100,1,6.448860000000001
13,uniform,auto,100,2,6.665000000000001
13,uniform,ball_tree,10,1,6.52602
13,uniform,ball_tree,10,2,6.676979999999999
13,uniform,ball_tree,20,1,6.53446
13,uniform,ball_tree,20,2,6.68004
13,uniform,ball_tree,30,1,6.53446
13,uniform,ball_tree,30,2,6.68004
13,uniform,ball_tree,40,1,6.487
13,uniform,ball_tree,40,2,6.669639999999999
13,uniform,ball_tree,50,1,6.487
13,uniform,ball_tree,50,2,6.669639999999999
13,uniform,ball_tree,100,1,6.476640000000001
13,uniform,ball_tree,100,2,6.645259999999999
13,uniform,kd_tree,10,1,6.55044
13,uniform,kd_tree,10,2,6.7061399999999995
13,uniform,kd_tree,20,1,6.548959999999999
13,uniform,kd_tree,20,2,6.6928399999999995
13,uniform,kd_tree,30,1,6.548959999999999
13,uniform,kd_tree,30,2,6.6928399999999995
13,uniform,kd_tree,40,1,6.48198
13,uniform,kd_tree,40,2,6.67542
13,uniform,kd_tree,50,1,6.48198
13,uniform,kd_tree,50,2,6.67542
13,uniform,kd_tree,100,1,6.448860000000001
13,uniform,kd_tree,100,2,6.665000000000001
13,uniform,brute,10,1,6.436540000000001
13,uniform,brute,10,2,6.635679999999999
13,uniform,brute,20,1,6.436540000000001
13,uniform,brute,20,2,6.635679999999999
13,uniform,brute,30,1,6.436540000000001
13,uniform,brute,30,2,6.635679999999999
13,uniform,brute,40,1,6.436540000000001
13,uniform,brute,40,2,6.635679999999999
13,uniform,brute,50,1,6.436540000000001
13,uniform,brute,50,2,6.635679999999999
13,uniform,brute,100,1,6.436540000000001
13,uniform,brute,100,2,6.635679999999999
13,distance,auto,10,1,6.1569
13,distance,auto,10,2,6.4352599999999995
13,distance,auto,20,1,6.155599999999999
13,distance,auto,20,2,6.42826
13,distance,auto,30,1,6.155599999999999
13,distance,auto,30,2,6.42826
13,distance,auto,40,1,6.114879999999999
13,distance,auto,40,2,6.4142600000000005
13,distance,auto,50,1,6.114879999999999
13,distance,auto,50,2,6.4142600000000005
13,distance,auto,100,1,6.09264
13,distance,auto,100,2,6.400559999999999
13,distance,ball_tree,10,1,6.14314
13,distance,ball_tree,10,2,6.413379999999999
13,distance,ball_tree,20,1,6.14872
13,distance,ball_tree,20,2,6.42336
13,distance,ball_tree,30,1,6.14872
13,distance,ball_tree,30,2,6.42336
13,distance,ball_tree,40,1,6.12636
13,distance,ball_tree,40,2,6.41316
13,distance,ball_tree,50,1,6.12636
13,distance,ball_tree,50,2,6.41316
13,distance,ball_tree,100,1,6.113480000000001
13,distance,ball_tree,100,2,6.389519999999999
13,distance,kd_tree,10,1,6.1569
13,distance,kd_tree,10,2,6.4352599999999995
13,distance,kd_tree,20,1,6.155599999999999
13,distance,kd_tree,20,2,6.42826
13,distance,kd_tree,30,1,6.155599999999999
13,distance,kd_tree,30,2,6.42826
13,distance,kd_tree,40,1,6.114879999999999
13,distance,kd_tree,40,2,6.4142600000000005
13,distance,kd_tree,50,1,6.114879999999999
13,distance,kd_tree,50,2,6.4142600000000005
13,distance,kd_tree,100,1,6.09264
13,distance,kd_tree,100,2,6.400559999999999
13,distance,brute,10,1,6.0879
13,distance,brute,10,2,6.381740000000001
13,distance,brute,20,1,6.0879
13,distance,brute,20,2,6.381740000000001
13,distance,brute,30,1,6.0879
13,distance,brute,30,2,6.381740000000001
13,distance,brute,40,1,6.0879
13,distance,brute,40,2,6.381740000000001
13,distance,brute,50,1,6.0879
13,distance,brute,50,2,6.381740000000001
13,distance,brute,100,1,6.0879
13,distance,brute,100,2,6.381740000000001
15,uniform,auto,10,1,6.61686
15,uniform,auto,10,2,6.80962
15,uniform,auto,20,1,6.6268
15,uniform,auto,20,2,6.7812600000000005
15,uniform,auto,30,1,6.6268
15,uniform,auto,30,2,6.7812600000000005
15,uniform,auto,40,1,6.561579999999999
15,uniform,auto,40,2,6.7629
15,uniform,auto,50,1,6.561579999999999
15,uniform,auto,50,2,6.7629
15,uniform,auto,100,1,6.53352
15,uniform,auto,100,2,6.7905
15,uniform,ball_tree,10,1,6.55954
15,uniform,ball_tree,10,2,6.796379999999999
15,uniform,ball_tree,20,1,6.58476
15,uniform,ball_tree,20,2,6.7816
15,uniform,ball_tree,30,1,6.58476
15,uniform,ball_tree,30,2,6.7816
15,uniform,ball_tree,40,1,6.54456
15,uniform,ball_tree,40,2,6.754659999999999
15,uniform,ball_tree,50,1,6.54456
15,uniform,ball_tree,50,2,6.754659999999999
15,uniform,ball_tree,100,1,6.503960000000001
15,uniform,ball_tree,100,2,6.769980000000001
15,uniform,kd_tree,10,1,6.61686
15,uniform,kd_tree,10,2,6.80962
15,uniform,kd_tree,20,1,6.6268
15,uniform,kd_tree,20,2,6.7812600000000005
15,uniform,kd_tree,30,1,6.6268
15,uniform,kd_tree,30,2,6.7812600000000005
15,uniform,kd_tree,40,1,6.561579999999999
15,uniform,kd_tree,40,2,6.7629
15,uniform,kd_tree,50,1,6.561579999999999
15,uniform,kd_tree,50,2,6.7629
15,uniform,kd_tree,100,1,6.53352
15,uniform,kd_tree,100,2,6.7905
15,uniform,brute,10,1,6.5598399999999994
15,uniform,brute,10,2,6.73098
15,uniform,brute,20,1,6.5598399999999994
15,uniform,brute,20,2,6.73098
15,uniform,brute,30,1,6.5598399999999994
15,uniform,brute,30,2,6.73098
15,uniform,brute,40,1,6.5598399999999994
15,uniform,brute,40,2,6.73098
15,uniform,brute,50,1,6.5598399999999994
15,uniform,brute,50,2,6.73098
15,uniform,brute,100,1,6.5598399999999994
15,uniform,brute,100,2,6.73098
15,distance,auto,10,1,6.20912
15,distance,auto,10,2,6.517
15,distance,auto,20,1,6.21646
15,distance,auto,20,2,6.49666
15,distance,auto,30,1,6.21646
15,distance,auto,30,2,6.49666
15,distance,auto,40,1,6.171519999999999
15,distance,auto,40,2,6.480260000000001
15,distance,auto,50,1,6.171519999999999
15,distance,auto,50,2,6.480260000000001
15,distance,auto,100,1,6.14878
15,distance,auto,100,2,6.50004
15,distance,ball_tree,10,1,6.1719
15,distance,ball_tree,10,2,6.5077799999999995
15,distance,ball_tree,20,1,6.1960999999999995
15,distance,ball_tree,20,2,6.49722
15,distance,ball_tree,30,1,6.1960999999999995
15,distance,ball_tree,30,2,6.49722
15,distance,ball_tree,40,1,6.164299999999999
15,distance,ball_tree,40,2,6.474639999999999
15,distance,ball_tree,50,1,6.164299999999999
15,distance,ball_tree,50,2,6.474639999999999
15,distance,ball_tree,100,1,6.13752
15,distance,ball_tree,100,2,6.48698
15,distance,kd_tree,10,1,6.20912
15,distance,kd_tree,10,2,6.517
15,distance,kd_tree,20,1,6.21646
15,distance,kd_tree,20,2,6.49666
15,distance,kd_tree,30,1,6.21646
15,distance,kd_tree,30,2,6.49666
15,distance,kd_tree,40,1,6.171519999999999
15,distance,kd_tree,40,2,6.480260000000001
15,distance,kd_tree,50,1,6.171519999999999
15,distance,kd_tree,50,2,6.480260000000001
15,distance,kd_tree,100,1,6.14878
15,distance,kd_tree,100,2,6.50004
15,distance,brute,10,1,6.1702200000000005
15,distance,brute,10,2,6.460859999999999
15,distance,brute,20,1,6.1702200000000005
15,distance,brute,20,2,6.460859999999999
15,distance,brute,30,1,6.1702200000000005
15,distance,brute,30,2,6.460859999999999
15,distance,brute,40,1,6.1702200000000005
15,distance,brute,40,2,6.460859999999999
15,distance,brute,50,1,6.1702200000000005
15,distance,brute,50,2,6.460859999999999
15,distance,brute,100,1,6.1702200000000005
15,distance,brute,100,2,6.460859999999999
20,uniform,auto,10,1,7.063579999999999
20,uniform,auto,10,2,7.1457999999999995
20,uniform,auto,20,1,6.976560000000001
20,uniform,auto,20,2,7.13112
20,uniform,auto,30,1,6.976560000000001
20,uniform,auto,30,2,7.13112
20,uniform,auto,40,1,6.93124
20,uniform,auto,40,2,7.078180000000001
20,uniform,auto,50,1,6.93124
20,uniform,auto,50,2,7.078180000000001
20,uniform,auto,100,1,6.915900000000001
20,uniform,auto,100,2,7.100579999999999
20,uniform,ball_tree,10,1,7.015859999999999
20,uniform,ball_tree,10,2,7.132480000000001
20,uniform,ball_tree,20,1,6.937140000000001
20,uniform,ball_tree,20,2,7.14786
20,uniform,ball_tree,30,1,6.937140000000001
20,uniform,ball_tree,30,2,7.14786
20,uniform,ball_tree,40,1,6.9169
20,uniform,ball_tree,40,2,7.0961799999999995
20,uniform,ball_tree,50,1,6.9169
20,uniform,ball_tree,50,2,7.0961799999999995
20,uniform,ball_tree,100,1,6.9415
20,uniform,ball_tree,100,2,7.11472
20,uniform,kd_tree,10,1,7.063579999999999
20,uniform,kd_tree,10,2,7.1457999999999995
20,uniform,kd_tree,20,1,6.976560000000001
20,uniform,kd_tree,20,2,7.13112
20,uniform,kd_tree,30,1,6.976560000000001
20,uniform,kd_tree,30,2,7.13112
20,uniform,kd_tree,40,1,6.93124
20,uniform,kd_tree,40,2,7.078180000000001
20,uniform,kd_tree,50,1,6.93124
20,uniform,kd_tree,50,2,7.078180000000001
20,uniform,kd_tree,100,1,6.915900000000001
20,uniform,kd_tree,100,2,7.100579999999999
20,uniform,brute,10,1,6.892439999999999
20,uniform,brute,10,2,7.03522
20,uniform,brute,20,1,6.892439999999999
20,uniform,brute,20,2,7.03522
20,uniform,brute,30,1,6.892439999999999
20,uniform,brute,30,2,7.03522
20,uniform,brute,40,1,6.892439999999999
20,uniform,brute,40,2,7.03522
20,uniform,brute,50,1,6.892439999999999
20,uniform,brute,50,2,7.03522
20,uniform,brute,100,1,6.892439999999999
20,uniform,brute,100,2,7.03522
20,distance,auto,10,1,6.48678
20,distance,auto,10,2,6.759659999999999
20,distance,auto,20,1,6.43838
20,distance,auto,20,2,6.75138
20,distance,auto,30,1,6.43838
20,distance,auto,30,2,6.75138
20,distance,auto,40,1,6.4176400000000005
20,distance,auto,40,2,6.71626
20,distance,auto,50,1,6.4176400000000005
20,distance,auto,50,2,6.71626
20,distance,auto,100,1,6.40804
20,distance,auto,100,2,6.72584
20,distance,ball_tree,10,1,6.463240000000001
20,distance,ball_tree,10,2,6.75146
20,distance,ball_tree,20,1,6.41334
20,distance,ball_tree,20,2,6.76168
20,distance,ball_tree,30,1,6.41334
20,distance,ball_tree,30,2,6.76168
20,distance,ball_tree,40,1,6.40604
20,distance,ball_tree,40,2,6.72842
20,distance,ball_tree,50,1,6.40604
20,distance,ball_tree,50,2,6.72842
20,distance,ball_tree,100,1,6.4194
20,distance,ball_tree,100,2,6.7373400000000006
20,distance,kd_tree,10,1,6.48678
20,distance,kd_tree,10,2,6.759659999999999
20,distance,kd_tree,20,1,6.43838
20,distance,kd_tree,20,2,6.75138
20,distance,kd_tree,30,1,6.43838
20,distance,kd_tree,30,2,6.75138
20,distance,kd_tree,40,1,6.4176400000000005
20,distance,kd_tree,40,2,6.71626
20,distance,kd_tree,50,1,6.4176400000000005
20,distance,kd_tree,50,2,6.71626
20,distance,kd_tree,100,1,6.40804
20,distance,kd_tree,100,2,6.72584
20,distance,brute,10,1,6.4030000000000005
20,distance,brute,10,2,6.68738
20,distance,brute,20,1,6.4030000000000005
20,distance,brute,20,2,6.68738
20,distance,brute,30,1,6.4030000000000005
20,distance,brute,30,2,6.68738
20,distance,brute,40,1,6.4030000000000005
20,distance,brute,40,2,6.68738
20,distance,brute,50,1,6.4030000000000005
20,distance,brute,50,2,6.68738
20,distance,brute,100,1,6.4030000000000005
20,distance,brute,100,2,6.68738
