Alpha,fit_intercept,copy_X,Max_iter,Tol,MMRE-
0.001,True,True,500,1e-05,8.638739999999999
0.001,True,True,500,0.0001,8.63872
0.001,True,True,500,0.001,8.63872
0.001,True,True,500,0.01,8.638760000000001
0.001,True,True,500,0.1,8.638819999999999
0.001,True,True,1000,1e-05,8.638739999999999
0.001,True,True,1000,0.0001,8.63872
0.001,True,True,1000,0.001,8.63872
0.001,True,True,1000,0.01,8.638760000000001
0.001,True,True,1000,0.1,8.638819999999999
0.001,True,True,2000,1e-05,8.638739999999999
0.001,True,True,2000,0.0001,8.63872
0.001,True,True,2000,0.001,8.63872
0.001,True,True,2000,0.01,8.638760000000001
0.001,True,True,2000,0.1,8.638819999999999
0.001,True,True,5000,1e-05,8.638739999999999
0.001,True,True,5000,0.0001,8.63872
0.001,True,True,5000,0.001,8.63872
0.001,True,True,5000,0.01,8.638760000000001
0.001,True,True,5000,0.1,8.638819999999999
0.001,True,True,15000,1e-05,8.638739999999999
0.001,True,True,15000,0.0001,8.63872
0.001,True,True,15000,0.001,8.63872
0.001,True,True,15000,0.01,8.638760000000001
0.001,True,True,15000,0.1,8.638819999999999
0.001,True,True,20000,1e-05,8.638739999999999
0.001,True,True,20000,0.0001,8.63872
0.001,True,True,20000,0.001,8.63872
0.001,True,True,20000,0.01,8.638760000000001
0.001,True,True,20000,0.1,8.638819999999999
0.001,True,False,500,1e-05,8.638739999999999
0.001,True,False,500,0.0001,8.63872
0.001,True,False,500,0.001,8.63872
0.001,True,False,500,0.01,8.638760000000001
0.001,True,False,500,0.1,8.638819999999999
0.001,True,False,1000,1e-05,8.638739999999999
0.001,True,False,1000,0.0001,8.63872
0.001,True,False,1000,0.001,8.63872
0.001,True,False,1000,0.01,8.638760000000001
0.001,True,False,1000,0.1,8.638819999999999
0.001,True,False,2000,1e-05,8.638739999999999
0.001,True,False,2000,0.0001,8.63872
0.001,True,False,2000,0.001,8.63872
0.001,True,False,2000,0.01,8.638760000000001
0.001,True,False,2000,0.1,8.638819999999999
0.001,True,False,5000,1e-05,8.638739999999999
0.001,True,False,5000,0.0001,8.63872
0.001,True,False,5000,0.001,8.63872
0.001,True,False,5000,0.01,8.638760000000001
0.001,True,False,5000,0.1,8.638819999999999
0.001,True,False,15000,1e-05,8.638739999999999
0.001,True,False,15000,0.0001,8.63872
0.001,True,False,15000,0.001,8.63872
0.001,True,False,15000,0.01,8.638760000000001
0.001,True,False,15000,0.1,8.638819999999999
0.001,True,False,20000,1e-05,8.638739999999999
0.001,True,False,20000,0.0001,8.63872
0.001,True,False,20000,0.001,8.63872
0.001,True,False,20000,0.01,8.638760000000001
0.001,True,False,20000,0.1,8.638819999999999
0.001,False,True,500,1e-05,8.67884
0.001,False,True,500,0.0001,8.67884
0.001,False,True,500,0.001,8.6786
0.001,False,True,500,0.01,9.2158
0.001,False,True,500,0.1,15.61548
0.001,False,True,1000,1e-05,8.66782
0.001,False,True,1000,0.0001,8.66782
0.001,False,True,1000,0.001,8.667359999999999
0.001,False,True,1000,0.01,9.2158
0.001,False,True,1000,0.1,15.61548
0.001,False,True,2000,1e-05,8.66374
0.001,False,True,2000,0.0001,8.66374
0.001,False,True,2000,0.001,8.662040000000001
0.001,False,True,2000,0.01,9.2158
0.001,False,True,2000,0.1,15.61548
0.001,False,True,5000,1e-05,8.664040000000002
0.001,False,True,5000,0.0001,8.66384
0.001,False,True,5000,0.001,8.661219999999998
0.001,False,True,5000,0.01,9.2158
0.001,False,True,5000,0.1,15.61548
0.001,False,True,15000,1e-05,8.664060000000001
0.001,False,True,15000,0.0001,8.66384
0.001,False,True,15000,0.001,8.661219999999998
0.001,False,True,15000,0.01,9.2158
0.001,False,True,15000,0.1,15.61548
0.001,False,True,20000,1e-05,8.664060000000001
0.001,False,True,20000,0.0001,8.66384
0.001,False,True,20000,0.001,8.661219999999998
0.001,False,True,20000,0.01,9.2158
0.001,False,True,20000,0.1,15.61548
0.001,False,False,500,1e-05,8.67884
0.001,False,False,500,0.0001,8.67884
0.001,False,False,500,0.001,8.6786
0.001,False,False,500,0.01,9.2158
0.001,False,False,500,0.1,15.61548
0.001,False,False,1000,1e-05,8.66782
0.001,False,False,1000,0.0001,8.66782
0.001,False,False,1000,0.001,8.667359999999999
0.001,False,False,1000,0.01,9.2158
0.001,False,False,1000,0.1,15.61548
0.001,False,False,2000,1e-05,8.66374
0.001,False,False,2000,0.0001,8.66374
0.001,False,False,2000,0.001,8.662040000000001
0.001,False,False,2000,0.01,9.2158
0.001,False,False,2000,0.1,15.61548
0.001,False,False,5000,1e-05,8.664040000000002
0.001,False,False,5000,0.0001,8.66384
0.001,False,False,5000,0.001,8.661219999999998
0.001,False,False,5000,0.01,9.2158
0.001,False,False,5000,0.1,15.61548
0.001,False,False,15000,1e-05,8.664060000000001
0.001,False,False,15000,0.0001,8.66384
0.001,False,False,15000,0.001,8.661219999999998
0.001,False,False,15000,0.01,9.2158
0.001,False,False,15000,0.1,15.61548
0.001,False,False,20000,1e-05,8.664060000000001
0.001,False,False,20000,0.0001,8.66384
0.001,False,False,20000,0.001,8.661219999999998
0.001,False,False,20000,0.01,9.2158
0.001,False,False,20000,0.1,15.61548
0.01,True,True,500,1e-05,8.93222
0.01,True,True,500,0.0001,8.93222
0.01,True,True,500,0.001,8.932239999999998
0.01,True,True,500,0.01,8.93226
0.01,True,True,500,0.1,8.93248
0.01,True,True,1000,1e-05,8.93222
0.01,True,True,1000,0.0001,8.93222
0.01,True,True,1000,0.001,8.932239999999998
0.01,True,True,1000,0.01,8.93226
0.01,True,True,1000,0.1,8.93248
0.01,True,True,2000,1e-05,8.93222
0.01,True,True,2000,0.0001,8.93222
0.01,True,True,2000,0.001,8.932239999999998
0.01,True,True,2000,0.01,8.93226
0.01,True,True,2000,0.1,8.93248
0.01,True,True,5000,1e-05,8.93222
0.01,True,True,5000,0.0001,8.93222
0.01,True,True,5000,0.001,8.932239999999998
0.01,True,True,5000,0.01,8.93226
0.01,True,True,5000,0.1,8.93248
0.01,True,True,15000,1e-05,8.93222
0.01,True,True,15000,0.0001,8.93222
0.01,True,True,15000,0.001,8.932239999999998
0.01,True,True,15000,0.01,8.93226
0.01,True,True,15000,0.1,8.93248
0.01,True,True,20000,1e-05,8.93222
0.01,True,True,20000,0.0001,8.93222
0.01,True,True,20000,0.001,8.932239999999998
0.01,True,True,20000,0.01,8.93226
0.01,True,True,20000,0.1,8.93248
0.01,True,False,500,1e-05,8.93222
0.01,True,False,500,0.0001,8.93222
0.01,True,False,500,0.001,8.932239999999998
0.01,True,False,500,0.01,8.93226
0.01,True,False,500,0.1,8.93248
0.01,True,False,1000,1e-05,8.93222
0.01,True,False,1000,0.0001,8.93222
0.01,True,False,1000,0.001,8.932239999999998
0.01,True,False,1000,0.01,8.93226
0.01,True,False,1000,0.1,8.93248
0.01,True,False,2000,1e-05,8.93222
0.01,True,False,2000,0.0001,8.93222
0.01,True,False,2000,0.001,8.932239999999998
0.01,True,False,2000,0.01,8.93226
0.01,True,False,2000,0.1,8.93248
0.01,True,False,5000,1e-05,8.93222
0.01,True,False,5000,0.0001,8.93222
0.01,True,False,5000,0.001,8.932239999999998
0.01,True,False,5000,0.01,8.93226
0.01,True,False,5000,0.1,8.93248
0.01,True,False,15000,1e-05,8.93222
0.01,True,False,15000,0.0001,8.93222
0.01,True,False,15000,0.001,8.932239999999998
0.01,True,False,15000,0.01,8.93226
0.01,True,False,15000,0.1,8.93248
0.01,True,False,20000,1e-05,8.93222
0.01,True,False,20000,0.0001,8.93222
0.01,True,False,20000,0.001,8.932239999999998
0.01,True,False,20000,0.01,8.93226
0.01,True,False,20000,0.1,8.93248
0.01,False,True,500,1e-05,8.9115
0.01,False,True,500,0.0001,8.9115
0.01,False,True,500,0.001,8.9115
0.01,False,True,500,0.01,9.30086
0.01,False,True,500,0.1,15.73228
0.01,False,True,1000,1e-05,8.922799999999999
0.01,False,True,1000,0.0001,8.92268
0.01,False,True,1000,0.001,8.922
0.01,False,True,1000,0.01,9.30086
0.01,False,True,1000,0.1,15.73228
0.01,False,True,2000,1e-05,8.92364
0.01,False,True,2000,0.0001,8.923480000000001
0.01,False,True,2000,0.001,8.92236
0.01,False,True,2000,0.01,9.30086
0.01,False,True,2000,0.1,15.73228
0.01,False,True,5000,1e-05,8.92364
0.01,False,True,5000,0.0001,8.923480000000001
0.01,False,True,5000,0.001,8.92236
0.01,False,True,5000,0.01,9.30086
0.01,False,True,5000,0.1,15.73228
0.01,False,True,15000,1e-05,8.92364
0.01,False,True,15000,0.0001,8.923480000000001
0.01,False,True,15000,0.001,8.92236
0.01,False,True,15000,0.01,9.30086
0.01,False,True,15000,0.1,15.73228
0.01,False,True,20000,1e-05,8.92364
0.01,False,True,20000,0.0001,8.923480000000001
0.01,False,True,20000,0.001,8.92236
0.01,False,True,20000,0.01,9.30086
0.01,False,True,20000,0.1,15.73228
0.01,False,False,500,1e-05,8.9115
0.01,False,False,500,0.0001,8.9115
0.01,False,False,500,0.001,8.9115
0.01,False,False,500,0.01,9.30086
0.01,False,False,500,0.1,15.73228
0.01,False,False,1000,1e-05,8.922799999999999
0.01,False,False,1000,0.0001,8.92268
0.01,False,False,1000,0.001,8.922
0.01,False,False,1000,0.01,9.30086
0.01,False,False,1000,0.1,15.73228
0.01,False,False,2000,1e-05,8.92364
0.01,False,False,2000,0.0001,8.923480000000001
0.01,False,False,2000,0.001,8.92236
0.01,False,False,2000,0.01,9.30086
0.01,False,False,2000,0.1,15.73228
0.01,False,False,5000,1e-05,8.92364
0.01,False,False,5000,0.0001,8.923480000000001
0.01,False,False,5000,0.001,8.92236
0.01,False,False,5000,0.01,9.30086
0.01,False,False,5000,0.1,15.73228
0.01,False,False,15000,1e-05,8.92364
0.01,False,False,15000,0.0001,8.923480000000001
0.01,False,False,15000,0.001,8.92236
0.01,False,False,15000,0.01,9.30086
0.01,False,False,15000,0.1,15.73228
0.01,False,False,20000,1e-05,8.92364
0.01,False,False,20000,0.0001,8.923480000000001
0.01,False,False,20000,0.001,8.92236
0.01,False,False,20000,0.01,9.30086
0.01,False,False,20000,0.1,15.73228
0.1,True,True,500,1e-05,9.79778
0.1,True,True,500,0.0001,9.7978
0.1,True,True,500,0.001,9.7979
0.1,True,True,500,0.01,9.79904
0.1,True,True,500,0.1,9.808720000000001
0.1,True,True,1000,1e-05,9.79778
0.1,True,True,1000,0.0001,9.7978
0.1,True,True,1000,0.001,9.7979
0.1,True,True,1000,0.01,9.79904
0.1,True,True,1000,0.1,9.808720000000001
0.1,True,True,2000,1e-05,9.79778
0.1,True,True,2000,0.0001,9.7978
0.1,True,True,2000,0.001,9.7979
0.1,True,True,2000,0.01,9.79904
0.1,True,True,2000,0.1,9.808720000000001
0.1,True,True,5000,1e-05,9.79778
0.1,True,True,5000,0.0001,9.7978
0.1,True,True,5000,0.001,9.7979
0.1,True,True,5000,0.01,9.79904
0.1,True,True,5000,0.1,9.808720000000001
0.1,True,True,15000,1e-05,9.79778
0.1,True,True,15000,0.0001,9.7978
0.1,True,True,15000,0.001,9.7979
0.1,True,True,15000,0.01,9.79904
0.1,True,True,15000,0.1,9.808720000000001
0.1,True,True,20000,1e-05,9.79778
0.1,True,True,20000,0.0001,9.7978
0.1,True,True,20000,0.001,9.7979
0.1,True,True,20000,0.01,9.79904
0.1,True,True,20000,0.1,9.808720000000001
0.1,True,False,500,1e-05,9.79778
0.1,True,False,500,0.0001,9.7978
0.1,True,False,500,0.001,9.7979
0.1,True,False,500,0.01,9.79904
0.1,True,False,500,0.1,9.808720000000001
0.1,True,False,1000,1e-05,9.79778
0.1,True,False,1000,0.0001,9.7978
0.1,True,False,1000,0.001,9.7979
0.1,True,False,1000,0.01,9.79904
0.1,True,False,1000,0.1,9.808720000000001
0.1,True,False,2000,1e-05,9.79778
0.1,True,False,2000,0.0001,9.7978
0.1,True,False,2000,0.001,9.7979
0.1,True,False,2000,0.01,9.79904
0.1,True,False,2000,0.1,9.808720000000001
0.1,True,False,5000,1e-05,9.79778
0.1,True,False,5000,0.0001,9.7978
0.1,True,False,5000,0.001,9.7979
0.1,True,False,5000,0.01,9.79904
0.1,True,False,5000,0.1,9.808720000000001
0.1,True,False,15000,1e-05,9.79778
0.1,True,False,15000,0.0001,9.7978
0.1,True,False,15000,0.001,9.7979
0.1,True,False,15000,0.01,9.79904
0.1,True,False,15000,0.1,9.808720000000001
0.1,True,False,20000,1e-05,9.79778
0.1,True,False,20000,0.0001,9.7978
0.1,True,False,20000,0.001,9.7979
0.1,True,False,20000,0.01,9.79904
0.1,True,False,20000,0.1,9.808720000000001
0.1,False,True,500,1e-05,9.69896
0.1,False,True,500,0.0001,9.6988
0.1,False,True,500,0.001,9.6974
0.1,False,True,500,0.01,9.9244
0.1,False,True,500,0.1,15.71714
0.1,False,True,1000,1e-05,9.69896
0.1,False,True,1000,0.0001,9.6988
0.1,False,True,1000,0.001,9.6974
0.1,False,True,1000,0.01,9.9244
0.1,False,True,1000,0.1,15.71714
0.1,False,True,2000,1e-05,9.69896
0.1,False,True,2000,0.0001,9.6988
0.1,False,True,2000,0.001,9.6974
0.1,False,True,2000,0.01,9.9244
0.1,False,True,2000,0.1,15.71714
0.1,False,True,5000,1e-05,9.69896
0.1,False,True,5000,0.0001,9.6988
0.1,False,True,5000,0.001,9.6974
0.1,False,True,5000,0.01,9.9244
0.1,False,True,5000,0.1,15.71714
0.1,False,True,15000,1e-05,9.69896
0.1,False,True,15000,0.0001,9.6988
0.1,False,True,15000,0.001,9.6974
0.1,False,True,15000,0.01,9.9244
0.1,False,True,15000,0.1,15.71714
0.1,False,True,20000,1e-05,9.69896
0.1,False,True,20000,0.0001,9.6988
0.1,False,True,20000,0.001,9.6974
0.1,False,True,20000,0.01,9.9244
0.1,False,True,20000,0.1,15.71714
0.1,False,False,500,1e-05,9.69896
0.1,False,False,500,0.0001,9.6988
0.1,False,False,500,0.001,9.6974
0.1,False,False,500,0.01,9.9244
0.1,False,False,500,0.1,15.71714
0.1,False,False,1000,1e-05,9.69896
0.1,False,False,1000,0.0001,9.6988
0.1,False,False,1000,0.001,9.6974
0.1,False,False,1000,0.01,9.9244
0.1,False,False,1000,0.1,15.71714
0.1,False,False,2000,1e-05,9.69896
0.1,False,False,2000,0.0001,9.6988
0.1,False,False,2000,0.001,9.6974
0.1,False,False,2000,0.01,9.9244
0.1,False,False,2000,0.1,15.71714
0.1,False,False,5000,1e-05,9.69896
0.1,False,False,5000,0.0001,9.6988
0.1,False,False,5000,0.001,9.6974
0.1,False,False,5000,0.01,9.9244
